estacao data hora_gmt hora_local temp_bulbo_seco temp_bulbo_umido umidade_relativa pressao_atm lua_azimute lua_altitude lua_distancia sol_azimute sol_altitude sol_distancia latiude_estacao longitude_estacao altitude_estacao
82024 1976-09-10 18:00:00 1800 33.1875 23.796875 45 1001.0 39.89147407229067 -77.41410989544002 409276.7352009792 274.486718019154 59.86785511368759 150587943.0714416 2.82 -60.66 83.0
82024 1976-09-11 00:00:00 0 28.796875 24.203125 69 1000.5 82.47969923571549 5.7880927884561935 402907.46442902164 276.92464430157463 -29.756075867607997 150586908.64241296 2.82 -60.66 83.0
82024 1976-09-11 12:00:00 1200 26.296875 23.796875 80 1005.5 279.5434824166328 0.28256539514713697 404287.81672877725 86.54396052199337 30.31939525992766 150561065.16607338 2.82 -60.66 83.0
82024 1976-09-11 18:00:00 1800 33.6875 24.203125 46 1001.5 349.53327621037664 -76.55365014221962 410786.2945301238 273.72380157095915 59.794374290464205 150549030.91788086 2.82 -60.66 83.0
82024 1976-09-12 00:00:00 0 29.703125 23.90625 62 1000.5 78.4981557082678 -4.465994318656009 405385.6835818392 276.49828278297053 -29.881902299443052 150547970.44942275 2.82 -60.66 83.0
82024 1976-09-12 12:00:00 1200 27.5 23.796875 74 1004.5 282.49083779962757 10.83590356671245 404038.9907543148 86.98732546557795 30.4020718735075 150522036.932602 2.82 -60.66 83.0
82024 1976-09-12 18:00:00 1800 34.09375 23.90625 43 1003.0 321.6571253372626 -69.0711975570094 411239.5793190961 272.9618140078737 59.71604485556983 150509979.02341366 2.82 -60.66 83.0
82024 1976-09-13 00:00:00 0 29.203125 23.0 59 1001.5 74.50640085601306 -14.653052054282538 406959.91860501043 276.06947155939514 -30.006923672005062 150508889.4645011 2.82 -60.66 83.0
82024 1976-09-13 12:00:00 1200 26.296875 22.90625 75 1005.0 285.5499638046471 21.333409114442848 402874.71514983225 87.43283476024425 30.48362806177559 150482860.02755937 2.82 -60.66 83.0
82024 1976-09-13 18:00:00 1800 33.5 22.796875 40 1002.0 309.15497205884157 -59.56334906440714 410487.193168001 272.20115171805224 59.632954236962625 150470775.23126054 2.82 -60.66 83.0
82024 1976-09-14 00:00:00 0 29.0 22.796875 59 1002.5 70.23137881067383 -24.78158188694579 407443.6677888932 275.63829280450324 -30.13101093802894 150469652.58862936 2.82 -60.66 83.0
82024 1976-09-14 12:00:00 1200 27.203125 22.40625 66 1005.0 288.9689139783632 31.807315563243602 400695.9091568978 87.88038146501125 30.56394700047401 150443519.61019912 2.82 -60.66 83.0
82024 1976-09-14 18:00:00 1800 34.0 24.0 43 1002.0 302.1580789365737 -49.410168694419774 408421.9635784498 271.4422000851491 59.54519564937953 150431403.84590822 2.82 -60.66 83.0
82024 1976-09-15 00:00:00 0 29.703125 24.0 63 1001.0 65.29811348207937 -34.85436751221552 406698.57483406813 275.20483282067016 -30.254036493868853 150430243.2992733 2.82 -60.66 83.0
82024 1976-09-15 12:00:00 1200 26.09375 23.0 77 1004.5 293.1503414305526 42.282572979940085 397459.52663288557 88.3298547533666 30.642913861853014 150403997.59513626 2.82 -60.66 83.0
82024 1976-09-15 18:00:00 1800 34.09375 23.90625 43 1001.5 297.4173183076263 -38.91916447929969 405001.3462239708 270.6853328166505 59.452867861227126 150391845.99364248 2.82 -60.66 83.0
82024 1976-09-16 00:00:00 0 29.59375 23.09375 58 1001.0 59.07125084727196 -44.83737277839682 404655.4243647911 274.7691818738934 -30.37587432865276 150390641.94918036 2.82 -60.66 83.0
82024 1976-09-16 12:00:00 1200 27.0 22.796875 70 1004.5 298.90543839924015 52.743521761888154 393201.46929779684 88.78113988492997 30.720416135039954 150364272.84558076 2.82 -60.66 83.0
82024 1976-09-16 18:00:00 1800 34.1875 24.203125 43 1002.5 293.72062483455613 -28.14419871761638 400268.58756343496 269.9309114205742 59.35607473285712 150352079.77495003 2.82 -60.66 83.0
82024 1976-09-17 00:00:00 0 30.296875 23.59375 57 1001.5 50.28222084851373 -54.583071703723746 401332.253605428 274.33143450404236 -30.496400514349762 150350825.88749528 2.82 -60.66 83.0
82024 1976-09-17 12:00:00 1200 27.59375 23.703125 73 1005.5 308.24654461119087 63.02885731482007 388055.56519192044 89.23411826052498 30.796343976481925 150324321.26419714 2.82 -60.66 83.0
82024 1976-09-17 18:00:00 1800 34.0 24.296875 45 1003.0 290.50658098388203 -17.06443851858752 394370.8167299398 269.17928506764554 59.25492487312387 150312080.3580821 2.82 -60.66 83.0
82024 1976-09-18 00:00:00 0 29.796875 24.796875 67 1002.0 36.07855491421575 -63.6016868870258 396848.027340347 273.89168964129453 -30.61549341930295 150310769.5686953 2.82 -60.66 83.0
82024 1976-09-18 12:00:00 1200 27.0 23.90625 77 1005.5 327.33861791724865 72.381226897739 382265.5213033362 89.68866727693329 30.87059064923544 150284115.97325885 2.82 -60.66 83.0
82024 1976-09-18 18:00:00 1800 33.6875 24.796875 49 1002.0 287.4474882964125 -5.638807964158685 387571.40401990374 268.43079015594526 59.14953101772301 150271820.21655786 2.82 -60.66 83.0
82024 1976-09-19 00:00:00 0 26.90625 24.703125 84 1001.5 10.54669430122815 -70.34356711835485 391429.68314870546 273.4500505665607 -30.73303436696358 150270444.86293492 2.82 -60.66 83.0
82024 1976-09-19 12:00:00 1200 27.59375 24.296875 77 1005.5 11.215221066269008 77.35100191732887 376185.5796422256 90.14466035283516 30.9430532339382 150243627.82096985 2.82 -60.66 83.0
82024 1976-09-19 18:00:00 1800 32.3125 25.203125 56 1001.5 284.2884285926382 6.166991759273828 380252.52612099954 267.68575055445984 59.04000922976142 150231269.76104844 2.82 -60.66 83.0
82024 1976-09-20 00:00:00 0 27.5 24.59375 79 1000.0 332.4841936639358 -71.31159189319817 385409.40311777877 273.0066251926567 -30.848908397311224 150229821.83311948 2.82 -60.66 83.0
82024 1976-09-20 12:00:00 1200 26.0 23.90625 84 1004.0 57.51035280116572 72.508069996975 370264.5204287991 90.60196713902003 31.013633431386893 150202826.51101843 2.82 -60.66 83.0
82024 1976-09-20 18:00:00 1800 33.3125 24.59375 49 1001.0 280.75125253151157 18.35794412158136 372902.3684480684 266.94447708269314 58.92647798501678 150190398.67716083 2.82 -60.66 83.0
82024 1976-09-21 00:00:00 0 28.296875 24.90625 76 1001.0 301.6611168934349 -65.15236359924693 379208.20012262114 272.5615258233496 -30.963005111748235 150188870.30150393 2.82 -60.66 83.0
82024 1976-09-21 12:00:00 1200 27.296875 23.296875 71 1003.5 78.10721659903888 62.03182637143367 365007.9449257303 91.06045385285498 31.082238260250687 150161682.68195426 2.82 -60.66 83.0
82024 1976-09-21 18:00:00 1800 34.1875 24.59375 45 1000.5 276.42081294049456 30.882501244575753 366080.9376349197 266.20726743169683 58.80905744095581 150149178.28318423 2.82 -60.66 83.0
82024 1976-09-22 00:00:00 0 30.0 24.796875 66 1000.0 284.3470471913089 -55.0061386219373 373302.285312117 272.1148687952817 -31.075219247508503 150147562.49444777 2.82 -60.66 83.0
82024 1976-09-22 12:00:00 1200 27.296875 23.796875 75 1005.0 87.90490335087553 49.72596066613051 360917.3144395411 91.51998387091088 31.148780551043547 150120171.12745434 2.82 -60.66 83.0
82024 1976-09-22 18:00:00 1800 34.8125 24.0 41 1002.0 270.50517255405896 43.58756427039886 360361.05022547406 265.47440530594884 58.68786879889359 150107585.02402514 2.82 -60.66 83.0
82024 1976-09-23 00:00:00 0 30.09375 24.0 60 1000.0 274.1499381176325 -43.087871560433854 368171.4753805777 271.6667739033581 -31.18545113932264 150105876.78897902 2.82 -60.66 83.0
82024 1976-09-23 12:00:00 1200 27.90625 22.796875 65 1005.5 93.77984847070803 36.60002303917493 358412.26899924397 91.98041839017264 31.213179104592598 150078274.9472489 2.82 -60.66 83.0
82024 1976-09-23 18:00:00 1800 35.0 23.0 36 1002.5 261.144846283409 56.10534147236393 356248.57230972487 264.74616011092377 58.563034084151504 150065604.7548115 2.82 -60.66 83.0
82024 1976-09-24 00:00:00 0 30.296875 25.203125 66 999.0 267.2522536108483 -30.28821034653878 364234.84082383226 271.21736398492897 -31.293606640680984 150063802.07057062 2.82 -60.66 83.0
82024 1976-09-24 12:00:00 1200 27.296875 23.203125 71 1003.5 97.95111859198782 23.03986374814405 357753.49025067326 92.44161676075613 31.275357909353485 150035989.84746084 2.82 -60.66 83.0
82024 1976-09-24 18:00:00 1800 24.0 23.703125 98 1000.5 243.08856978290498 67.42110555222814 354097.584385845 264.02278670252383 58.43467704893076 150023236.89799124 2.82 -60.66 83.0
